id,lesson_id,japanese,english,reading
4,2,食べる,to eat,たべる
5,2,水,water,みず
8,4,猫,cat,ねこ
10,6,みます,check / take a look at,mimasu
11,6,さがします,look for / search for,sagashimasu
12,6,[じかんに~] おくれます,be late [for an appointment/time],okuremasu
13,6,[じかんに~] まにあいます,be in time [for an appointment/time],mani aimasu
14,6,やります,do,yarimasu
15,6,ひろいます,pick up,hiroimasu
16,6,れんらくします,contact / get in touch with,renrakushimasu
17,6,[にもつが~] かたづきます,[boxes/room] be put in order / tidied up,katazukimasu
18,6,[ごみを~] だします,put out [the garbage],dashimasu
19,6,[ごみが~] もえます,[garbage] burn,moemasu
20,6,つごうがいい,convenient (regarding time),tsugō ga ii
21,6,つごうがわるい,inconvenient (regarding time),tsugō ga warui
22,6,きぶんがいい,feel well / in a good mood,kibun ga ii
23,6,きぶんがわるい,feel ill / feel sick,kibun ga warui
24,6,こわい,scary / be afraid of,kowai
25,6,しんぶんしゃ,newspaper publishing company,shinbunsha
26,6,じゅうどう,judo,jūdō
27,6,うんどうかい,athletic meeting / sports day,undōkai
28,6,ばしょ,place / location,basho
29,6,ボランティア,volunteer,borantia
30,6,～べん,... dialect,~ben
31,6,ごみ,garbage / rubbish / waste,gomi
32,6,おきば,place where something is kept/put,okiba
33,6,よこ,side / next to,yoko
34,6,びん,bottle,bin
35,6,かん,can,kan
36,6,おゆ,hot water,oyu
37,6,ガス,gas,gas
38,6,かいしゃ,company,kaisha
39,6,うちゅう,space / universe,uchū
40,6,うちゅうせん,spaceship,uchūsen
41,6,うちゅうひこうし,astronaut,uchūhikōshi
42,6,さいふ,wallet / purse,saifu
43,6,こっかいぎじどう,the Diet Building (Parliament),kokkai gijidō
44,6,へいじつ,weekday,heijitsu
45,6,こんど,next time / another time,kondo
46,6,ずいぶん,very / pretty / considerably,zuibun
47,6,ちょくせつ,directly,chokutsu
48,6,いつでも,anytime,itsudemo
49,6,どこでも,anywhere,dokodemo
50,6,だれでも,anybody,daredemo
51,6,なんでも,anything,nandemo
52,6,こんな～,like this / this kind of...,konna ~
53,6,そんな～,like that / that kind of...,sonna ~
54,6,あんな～,like that / that kind of...,anna ~
55,6,こまったなあ,What shall I do? / I'm in trouble.,komatta nā
56,7,みます,check / take a look at,mimasu
57,7,さがします,look for / search for,sagashimasu
58,7,[じかんに~] おくれます,be late [for an appointment/time],okuremasu
59,7,[じかんに~] まにあいます,be in time [for an appointment/time],mani aimasu
60,7,やります,do,yarimasu
61,7,ひろいます,pick up,hiroimasu
62,7,れんらくします,contact / get in touch with,renrakushimasu
63,7,[にもつが~] かたづきます,[boxes/room] be put in order / tidied up,katazukimasu
64,7,[ごみを~] だします,put out [the garbage],dashimasu
65,7,[ごみが~] もえます,[garbage] burn,moemasu
66,7,つごうがいい,convenient (regarding time),tsugō ga ii
67,7,つごうがわるい,inconvenient (regarding time),tsugō ga warui
68,7,きぶんがいい,feel well / in a good mood,kibun ga ii
69,7,きぶんがわるい,feel ill / feel sick,kibun ga warui
70,7,こわい,scary / be afraid of,kowai
71,7,しんぶんしゃ,newspaper publishing company,shinbunsha
72,7,じゅうどう,judo,jūdō
73,7,うんどうかい,athletic meeting / sports day,undōkai
74,7,ばしょ,place / location,basho
75,7,ボランティア,volunteer,borantia
76,7,～べん,... dialect,~ben
77,7,ごみ,garbage / rubbish / waste,gomi
78,7,おきば,place where something is kept/put,okiba
79,7,よこ,side / next to,yoko
80,7,びん,bottle,bin
81,7,かん,can,kan
82,7,おゆ,hot water,oyu
83,7,ガス,gas,gas
84,7,かいしゃ,company,kaisha
85,7,うちゅう,space / universe,uchū
86,7,うちゅうせん,spaceship,uchūsen
87,7,うちゅうひこうし,astronaut,uchūhikōshi
88,7,さいふ,wallet / purse,saifu
89,7,こっかいぎじどう,the Diet Building (Parliament),kokkai gijidō
90,7,へいじつ,weekday,heijitsu
91,7,こんど,next time / another time,kondo
92,7,ずいぶん,very / pretty / considerably,zuibun
93,7,ちょくせつ,directly,chokutsu
94,7,いつでも,anytime,itsudemo
95,7,どこでも,anywhere,dokodemo
96,7,だれでも,anybody,daredemo
97,7,なんでも,anything,nandemo
98,7,こんな～,like this / this kind of...,konna ~
99,7,そんな～,like that / that kind of...,sonna ~
100,7,あんな～,like that / that kind of...,anna ~
101,7,こまったなあ,What shall I do? / I'm in trouble.,komatta nā
102,9,かえます,can buy / be able to buy,kaemasu
103,9,かいます,keep (an animal) / raise,kaimasu
104,9,[みちを~] はしります,run / drive [along a road],[michi o~] hashirimasu
105,9,みえます,can be seen,miemasu
106,9,[やまが~] みえます,[a mountain] can be seen,[yama ga~] miemasu
107,9,きこえます,can be heard,kikoemasu
108,9,[おとが~] きこえます,[a sound] can be heard,[oto ga~] kikoemasu
109,9,できます,be made / be completed / come into being,dekimasu
110,9,[くうこうが~] できます,[an airport] be made / completed,[kūkō ga~] dekimasu
111,9,ひらきます,set up [a class] / open / hold,hirakimasu
112,9,[きょうしつを~] ひらきます,set up [a class] / open / hold,[kyōshitsu o~] hirakimasu
113,9,ペット,pet,petto
114,9,とり,bird,tori
115,9,こえ,voice,koe
116,9,なみ,wave,nami
117,9,はなび,fireworks,hanabi
118,9,けしき,scenery / view,keshiki
119,9,ひるま,daytime,hiruma
120,9,むかし,old days / ancient times,mukashi
121,9,どうぐ,tool / instrument / equipment,dōgu
122,9,クリーニング,cleaning / dry cleaning,kurīningu
123,9,いえ,house / home,ie
124,9,マンション,mansion / apartment house / condominium,manshon
125,9,キッチン,kitchen,kicchin
126,9,~きょうしつ,~ class,~kyōshitsu
127,9,パーティールーム,party room,pātīrūmu
128,9,かた,person (respectful equivalent of ひと),kata
129,9,~ご,after ~ (duration of time),~go
130,9,~しか,only ~ (used with negatives),~shika
131,9,ほかの,other,hokanodesu
132,9,はっきり,clearly,hakkiri
133,9,ほとんど,almost all / hardly (with negative),hotondo
134,9,かぐ,furniture,kagu
135,9,ほんだな,bookshelf,hondana
136,9,いつか,sometime / someday,itsuka
137,9,たてます,build,tatemasu
138,9,すばらしい,wonderful / gorgeous,subarashii
139,9,こどもたち,children,kodomotachi
140,9,だいすき[な],favorite / very fond of,daisuki[na]
141,9,しゅんこう,hero of a story/novel,shunkō
142,9,かたち,shape,katachi
143,9,ふしぎ[な],fantastic / mysterious / strange,fushigi[na]
144,9,ポケット,pocket,poketto
145,9,たとえば,for example,tatoeba
146,9,つけます,attach / put on,tsukemasu
147,9,じゆうに,freely,jiyūni
148,9,そら,sky,sora
149,9,とびます,fly,tobimasu
150,9,じぶん,oneself,jibun
151,9,しょうらい,future,shōrai
152,10,うれます,sell / be sold,uremasu
153,10,[パンが~] うれます,[bread] sell / be sold,[pan ga~] uれます
154,10,おどります,dance,odorimasu
155,10,かみます,chew / bite,kamimasu
156,10,えらびます,choose / select,erabimasu
157,10,ちがいます,be different,chigaimasu
158,10,かよいます,go to and from / commute,kayoimasu
159,10,[だいがくに~] かよいます,commute to [university],[daigaku ni~] kayoimasu
160,10,メモします,take a memo / note down,memoshimasu
161,10,まじめ[な],serious / earnest / honest,majime[na]
162,10,ねっしん[な],earnest / enthusiastic,nesshin[na]
163,10,やさしい,gentle / kind,yasashii
164,10,えらい,great / admirable,erai
165,10,ちょうどいい,proper / just right,chōdo ii
166,10,しゅうかん,custom / habit,shūkan
167,10,けいけん,experience,keiken
168,10,ちから,power / strength / ability,chikara
169,10,にんき,popularity,ninki
170,10,[がくせいに~] にんきがあります,be popular [with students],[gakusei ni~] ninki ga arimasu
171,10,かたち,shape / form,katachi
172,10,いろ,color,iro
173,10,あじ,taste / flavor,aji
174,10,ガム,chewing gum,gamu
175,10,しなもの,goods / article,shinamono
176,10,ねだん,price,nedan
177,10,きゅうりょう,salary,kyūryō
178,10,ボーナス,bonus,bōnasu
179,10,ばんぐみ,program (e.g. TV program),bangumi
180,10,ドラマ,drama / TV show,dorama
181,10,かしゅ,singer,kashu
182,10,しょうせつ,novel,shōsetsu
183,10,しょうせつか,novelist,shōsetsuka
184,10,かんりにん,janitor / caretaker / manager,kanrinin
185,10,むすこ,(my) son,musuko
186,10,むすこさん,(someone else's) son,musukosan
187,10,むすめ,(my) daughter,musume
188,10,むすめさん,(someone else's) daughter,musumesan
189,10,じぶん,oneself,jibun
190,10,しょうらい,future,shōrai
191,10,しばらく,a little while / for a short while,shibaraku
192,10,たいてい,usually / mostly,taitei
193,10,それに,in addition / moreover,soreni
194,10,それで,and so / therefore,sorede
195,10,おねがいがあるんですが,I have a favor to ask.,onegai ga aru n desu ga
196,10,ホームステイ,homestay,hōmustei
197,10,かいわ,conversation,kaiwa
198,10,おしゃべりします,chat / talk,oshaberishimasu
199,10,おしらせ,notice / announcement,oshirase
200,10,ひにち,date,hinichi
201,10,どようび,Saturday,doyōbi
202,10,たいいくかん,gymnasium,taiikukan
203,10,むりょう,free of charge,muryō
204,11,[ドアが~] あきます,[a door] open,[doa ga~] akimasu
205,11,[ドアが~] しまります,[a door] close / shut,[doa ga~] shimarimasu
206,11,[でんきが~] つきます,[a light] come on / be turned on,[denki ga~] tsukimasu
207,11,[でんきが~] きえます,[a light] go off / disappear,[denki ga~] kiemasu
208,11,[いすが~] こわれます,[a chair] break,[isu ga~] kowaremasu
209,11,[コップが~] われます,[a glass] break / smash,[koppu ga~] waremasu
210,11,[きが~] おれます,[a tree] break / snap,[ki ga~] oremasu
211,11,[かみが~] やぶれます,[paper] tear,[kami ga~] yaburemasu
212,11,[ふくが~] よごれます,[clothes] get dirty,[fuku ga~] yogoremasu
213,11,[ポケットが~] つきます,[a pocket] be attached,[poketto ga~] tsukimasu
214,11,[ボタンが~] はずれます,[a button] come off / be undone,[botan ga~] hazuremasu
215,11,[くるまが~] とまります,[a car] stop / park,[kuruma ga~] tomarimasu
216,11,まちがえます,make a mistake,machigaemasu
217,11,おとします,drop / lose,otoshimasu
218,11,[かぎが~] かかります,be locked,[kagi ga~] kakarimasu
219,11,ふきます,wipe,fukimasu
220,11,とりかえます,change,torikaemasu
221,11,かたづけます,put (things) in order / tidy up,katazukimasu
222,11,おさら,plate / dish,osara
223,11,おちゃわん,rice bowl,ochawan
224,11,コップ,glass (vessel),koppu
225,11,ガラス,glass (material),garasu
226,11,ふくろ,bag,fukuro
227,11,さいふ,wallet / purse,saifu
228,11,しょるい,document / papers,shorui
229,11,えだ,branch / twig,eda
230,11,えきいん,station employee / attendant,ekiin
231,11,こうばん,police box,kōban
232,11,スピーチ,speech,supīchi
233,11,へんじ,reply / answer,henji
234,11,おさきにどうぞ,after you / go ahead please,osaki ni dōzo
235,11,いまのでんしゃ,the train which has just left,ima no densha
236,11,わすれもの,things left behind / lost property,wasuremono
237,11,このくらい,about this size,kono kurai
238,11,~がわ,~ side,~gawa
239,11,ポケット,pocket,poketto
240,11,~へん,"around ~, ~ about",~hen
241,11,このへん,this neighborhood / around here,kono hen
242,11,おぼえていません,I don't remember,oboete imasen
243,11,あみだな,overhead rack,amidana
244,11,たしか,I'm pretty sure / if I am correct,tashika
245,11,ああ、よかった,thank goodness / that's great,ā yokatta
246,11,じしん,earthquake,jishin
247,11,かべ,wall,kabe
248,11,はり,hands (of a clock),hari
249,11,さします,point,sashimasu
250,11,えきまえ,the area in front of a station,ekimae
251,11,たおれます,fall down,taoremasu
252,11,にし,west,nishi
253,11,~のほう,direction of ~,~ no hō
254,11,もえます,burn,moemasu
255,11,レポーター,reporter,repōtā
256,12,はります,put up / post / paste,harimasu
257,12,かけます,hang,kakemasu
258,12,[カレンダーを~] かけます,hang [a calendar],[karenda- o~] kakemasu
259,12,かざります,display / decorate,kazarimasu
260,12,ならべます,arrange / line up,narabemasu
261,12,うえます,plant,uemasu
262,12,もどします,return / put back,modoshimasu
263,12,まとめます,put together / summarize,matomemasu
264,12,かたづけます,put things in order / tidy up,katazukimasu
265,12,しまいます,put away,shimaimasu
266,12,きめます,decide,kimemasu
267,12,しらせます,inform / notify,shirasemasu
268,12,そうだんします,consult / discuss,sōdanshimasu
269,12,よしゅうします,prepare for a lesson,yoshūshimasu
270,12,ふくしゅうします,review a lesson,fukushūshimasu
271,12,そのままにします,leave things as they are,sonomama ni shimasu
272,12,おこさん,(someone else's) child,okosan
273,12,じゅぎょう,class / lesson,jugyō
274,12,こうぎ,lecture,kōgi
275,12,ミーティング,meeting,mītingu
276,12,よてい,plan / schedule,yotei
277,12,おしらせ,notice / announcement,oshirase
278,12,あんないしょ,guidebook / guide brochure,annaisho
279,12,カレンダー,calendar,karendā
280,12,ポスター,poster,posutā
281,12,ごみばこ,trash can / dustbin,gomibako
282,12,にんぎょう,doll,ningyō
283,12,かびん,vase,kabin
284,12,かがみ,mirror,kagami
285,12,ひきだし,drawer,hikidashi
286,12,げんかん,entrance hall / foyer,genkan
287,12,ろうか,corridor / hallway,rōka
288,12,かべ,wall,kabe
289,12,いけ,pond,ike
290,12,こうばん,police box,kōban
291,12,もとのところ,original place,moto no tokoro
292,12,まわり,around / surrounding,mawari
293,12,まんなか,center / middle,mannaka
294,12,すみ,corner,sumi
295,12,まだ,still,mada
296,12,ほど,about / approximately,hodo
297,12,よていひょう,schedule / itinerary,yoteihyō
298,12,ごくろうさま,Thank you for your hard work (used by superiors),gokurōsama
299,12,きぼう,hope / desire / wish,kibō
300,12,ミュージカル,musical,myūjikaru
301,12,それはいいですね,That's a good idea / That sounds nice,sore wa ii desu ne
302,12,まるい,round / circular,marui
303,12,ある~,a certain ~ / some ~,aru~
304,12,ちきゅう,earth / planet earth,chikyū
305,12,うれしい,happy / glad,ureshishi
306,12,いや[な],hateful / disagreeable / unpleasant,iya[na]
307,12,すると,then / and just then,suruto
308,12,めがさめます,wake up,me ga samemasu
309,13,はじまります,begin / start,hajimerimasu
310,13,[しきが~] はじまります,[a ceremony] begin / start,[shiki ga~] hajimerimasu
311,13,つづけます,continue,tsuzukemasu
312,13,みつけます,find,mitsukemasu
313,13,うけます,take [an examination],ukemasu
314,13,[しけんを~] うけます,take [an examination],[shiken o~] ukemasu
315,13,にゅうがくします,enter [a university],nyūgakushimasu
316,13,[だいがくに~] にゅうがくします,enter [a university],[daigaku ni~] nyūgakushimasu
317,13,そつぎょうします,graduate [from a university],sotsugyōshimasu
318,13,[だいがくを~] そつぎょうします,graduate [from a university],[daigaku o~] sotsugyōshimasu
319,13,しゅっせきします,attend [a meeting],shussekishimasu
320,13,[かいぎに~] しゅっせきします,attend [a meeting],[kaigi ni~] shussekishimasu
321,13,きゅうけいします,take a break / take a rest,kyūkeishimasu
322,13,れんきゅう,consecutive holidays,renkyū
323,13,さくぶん,essay / composition,sakubun
324,13,てんらんかい,exhibition,tenrankai
325,13,けっこんしき,wedding ceremony,kekkonshiki
326,13,[お]そうしき,funeral,[o]sōshiki
327,13,しき,ceremony,shiki
328,13,ほんしゃ,head office,honsha
329,13,してん,branch office,shiten
330,13,きょうかい,church,kyōkai
331,13,だいがくいん,graduate school,daigakuin
332,13,どうぶつえん,zoo,dōbu tsuen
333,13,おんせん,hot spring / spa,onsen
334,13,おきゃく[さん],visitor / guest / customer / client,okyaku[san]
335,13,だれか,somebody,dareka
336,13,~のほう,place toward ~ / direction of ~,~ no hō
337,13,ずっと,all the time / much more,zutto
338,13,のこります,remain / be left behind,nokorimasu
339,13,つきに,per month / in a month,tsuki ni
340,13,ふつうの,ordinary / regular,futsū no
341,13,インターネット,Internet,intānetto
342,13,むら,village,mura
343,13,えいがかん,movie theater,eigakan
344,13,とじます,close / shut,tojimasu
345,13,とかい,city / town,tokai
346,13,こどもたち,children,kodomotachi
347,13,じゆうに,freely,jiyūni
348,13,せかいじゅう,all over the world,sekaijū
349,13,あつまります,gather / assemble,atsumarimasu
350,13,うつくしい,beautiful,utsukushii
351,13,しぜん,nature,shizen
352,13,すばらしさ,goodness / splendor,subarashisa
353,13,きがつきます,notice / become aware of,ki ga tsukimasu
354,14,うんどうします,take exercise,undōshimasu
355,14,せいこうします,succeed,seikōshimasu
356,14,しっぱいします,fail [an examination],shippaishimasu
357,14,[しけんに~] しっぱいします,fail [an examination],[shiken ni~] shippaishimasu
358,14,ごうかくします,pass [an examination],gōkakushimasu
359,14,[しけんに~] ごうかくします,pass [an examination],[shiken ni~] gōkakushimasu
360,14,もどります,return,modorimasu
361,14,やみます,stop [rain],yamimasu
362,14,[あめが~] やみます,stop [rain],[ame ga~] yamimasu
363,14,はれます,clear up,haremasu
364,14,くもります,get cloudy,kumorimasu
365,14,ふきます,blow [wind],fukimasu
366,14,[かぜが~] ふきます,blow [wind],[kaze ga~] fukimasu
367,14,なおります,recover from [an illness] / be repaired,naorimasu
368,14,[びょうきが~] なおります,recover from [an illness],[byōki ga~] naorimasu
369,14,[こしょうが~] なおります,be repaired [a breakdown],[koshō ga~] naorimasu
370,14,つづきます,continue [a fever],tsuzukimasu
371,14,[ねつが~] つづきます,continue [a fever],[netsu ga~] tsuzukimasu
372,14,ひきます,catch [a cold],hikimasu
373,14,[かぜを~] ひきます,catch [a cold],[kaze o~] hikimasu
374,14,ひやします,cool,hiyashimasu
375,14,しんぱい[な],worried / anxious,shinpai[na]
376,14,じゅうぶん[な],enough / sufficient,jūbun[na]
377,14,おかしい,strange / funny,okashii
378,14,うるさい,noisy,urusai
379,14,やけど,burn / scalding,yakedo
380,14,[やけどを~] します,get a burn,[yakedo o~] shimasu
381,14,けが,injury,kega
382,14,[けがを~] します,get an injury,[kega o~] shimasu
383,14,せき,cough,seki
384,14,[せきが~] でます,have a cough,[seki ga~] demasu
385,14,インフルエンザ,influenza,infuruenza
386,14,そら,sky,sora
387,14,たいよう,sun,taiyō
388,14,ほし,star,hoshi
389,14,つき,moon,tsuki
390,14,かぜ,wind,kaze
391,14,きた,north,kita
392,14,みなみ,south,minami
393,14,にし,west,nishi
394,14,ひがし,east,higashi
395,14,すいどう,water supply / tap water,suidō
396,14,エンジン,engine,enjin
397,14,チーム,team,chīmu
398,14,こんや,this evening / tonight,konya
399,14,ゆうがた,late afternoon / evening,yūgata
400,14,まえ,before / formerly,mae
401,14,おそく,late (time),osoku
402,14,こんなに,like this,konnani
403,14,そんなに,like that (concerning the listener),sonnani
404,14,あんなに,like that (concerning something far away),annani
405,14,もしかしたら,possibly / perhaps,moshikashitara
406,14,それはいけませんね,That's too bad,sore wa ikemasen ne
407,14,オリンピック,Olympic Games,orinpikku
408,14,げんき,health / vigor,genki
409,14,い,stomach,i
410,14,はたらきすぎ,working too much / overwork,hatarakisugi
411,14,ストレス,stress,sutoresu
412,14,むりをします,work more than one's capacity,muri o shimasu
413,14,ゆっくりします,take one's time / relax,yukkuri shimasu
414,14,ほしうらない,horoscope / astrology,hoshiuranai
415,14,おうしざ,Taurus (the Bull),ōshiza
416,14,こまります,be in trouble / have a problem,komarimasu
417,14,たからくじ,lottery,takarakuji
418,14,あたります,win [a lottery],atarimasu
419,14,[たからくじが~] あたります,win [a lottery],[takarakuji ga~] atarimasu
420,14,けんこう,health,kenkō
421,14,れんあい,romantic love,renai
422,14,こいびと,boyfriend / girlfriend,koibito
423,14,おかねもち,rich person,okanemochi
424,15,かんたん[な],easy / simple,kantan[na]
425,15,ちかい,near / close,chikai
426,15,とおい,far,tooi
427,15,はやい,fast / early,hayai
428,15,おそい,slow / late,osoi
429,15,おおい,many / much,ooi
430,15,[ひとが~] おおい,many [people],[hito ga~] ooi
431,15,すくない,few / a little,sukunai
432,15,[ひとが~] すくない,few [people],[hito ga~] sukunai
433,15,あたたかい,warm,atatakai
434,15,すずしい,cool,suzushii
435,15,あまい,sweet,amai
436,15,からい,spicy / hot,karai
437,15,おもい,heavy,omoi
438,15,かるい,light,karui
439,15,いい,prefer,ii
440,15,[コーヒーが~] いい,prefer [coffee],[kōhī ga~] ii
441,15,きせつ,season,kisetsu
442,15,はる,spring,haru
443,15,なつ,summer,natsu
444,15,あき,autumn / fall,aki
445,15,ふゆ,winter,fuyu
446,15,てんき,weather,tenki
447,15,あめ,rain,ame
448,15,ゆき,snow,yuki
449,15,くもり,cloudy,kumori
450,15,ホテル,hotel,hoteru
451,15,くうこう,airport,kūkō
452,15,うみ,sea / ocean,umi
453,15,せかい,world,sekai
454,15,パーティー,party,pātī
455,15,[お]まつり,festival,[o]matsuri
456,15,しけん,examination / exam,shiken
457,15,すきやき,sukiyaki (beef and vegetable hot pot),sukiyaki
458,15,さしみ,sashimi (sliced raw fish),sashimi
459,15,[お]すし,sushi,[o]sushi
460,15,てんぷら,tempura,tenpura
461,15,いけばな,flower arrangement,ikebana
462,15,[を~] します,practice flower arrangement,[o~] shimasu
463,15,もみじ,maple / red autumn leaves,momiji
464,15,どちら,which (of two choices),dochira
465,15,どちらも,both,dochiramo
466,15,ずっと,by far / much more,zutto
467,15,はじめて,for the first time,hajimete
468,15,ただいま,I'm home.,tadaima
469,15,おかえりなさい,Welcome home.,okaerinasai
470,15,すごいですね,That's amazing.,sugoi desu ne
471,15,でも,but,demo
472,15,つかれました,I'm tired.,tsukaremashita
473,15,ぎおんまつり,Gion Festival,gionmatsuri
474,16,あそびます,play / visit someone / have fun,asobimasu
475,16,およぎます,swim,oyogimasu
476,16,むかえます,go to meet / welcome,mukaemasu
477,16,つかれます,get tired,tsukaremasu
478,16,だします,send [a letter],dashimasu
479,16,[てがみを~] だします,send [a letter],[tegami o~] dashimasu
480,16,はいります,enter [a coffee shop],hairimasu
481,16,[きっさてんに~] はいります,enter [a coffee shop],[kissaten ni~] hairimasu
482,16,でます,go out [of a coffee shop],demasu
483,16,[きっさてんを~] でます,go out [of a coffee shop],[kissaten o~] demasu
484,16,けっこんします,marry / get married,kekkonshimasu
485,16,かいものします,do shopping,kaimonoshimasu
486,16,しょくじします,have a meal / dine,shokujishimasu
487,16,さんぽします,take a walk [in a park],sanposhimasu
488,16,[こうえんを~] さんぽします,take a walk [in a park],[kōen o~] sanposhimasu
489,16,たいへん[な],hard / tough / severe / awful,taihen[na]
490,16,ほしい,want (something),hoshii
491,16,さびしい,lonely,sabishii
492,16,ひろい,wide / spacious,hiroi
493,16,せまい,narrow / small (room etc.),semai
494,16,しやくしょ,city hall,shiyakusho
495,16,プール,swimming pool,pūru
496,16,かわ,river,kawa
497,16,けいざい,economy / economics,keizai
498,16,びじゅつ,fine art,bijutsu
499,16,つり,fishing,tsuri
500,16,[を~] します,fish / go fishing,[o~] shimasu
501,16,スキー,skiing,sukī
502,16,[を~] します,ski / go skiing,[o~] shimasu
503,16,かいぎ,meeting / conference,kaigi
504,16,[を~] します,hold a meeting,[o~] shimasu
505,16,とうろく,registration,tōroku
506,16,[を~] します,register,[o~] shimasu
507,16,しゅうちょう,business trip,shūchō
508,16,[を~] します,go on a business trip,[o~] shimasu
509,16,おみやげ,souvenir / present,omiyage
510,16,~ごろ,about ~ (time),~goro
511,16,なにか,something,nanika
512,16,どこか,somewhere / some place,dokoka
513,16,おなかがすきました,I'm hungry.,onaka ga sukimashita
514,16,おなかがいっぱいです,I'm full.,onaka ga ippai desu
515,16,のどがかわきました,I'm thirsty.,nodo ga kawakimashita
516,16,そうですね,I agree with you. / Let me see.,sō desu ne
517,16,そうしましょう,Let's do that.,sō shimashō
518,16,ご注文は,May I take your order?,go-chūmon wa
519,16,ていしょく,set meal,teishoku
520,16,ぎゅうどん,bowl of rice topped with beef,gyūdon
521,16,[少々] お待ちください,Please wait [a moment].,[shōshō] omachi kudasai
522,16,でございます,polite equivalent of です,de gozaimasu
523,16,べつべつに,separately,betsubetsu ni
524,17,のります,ride / board,norimasu
525,17,[でんしゃに~] のります,board [a train],[densha ni~] norimasu
526,17,おります,get off,orimasu
527,17,[でんしゃを~] おります,get off [a train],[densha o~] orimasu
528,17,のりかえます,change / transfer [trains],norikaemasu
529,17,あびます,take [a shower],abimasu
